b1: X -49.950866699219, Y 1060.4793701172, Z 0.35000097751617
b2: X -51.746395111084, Y 1065.7374267578, Z -0.00019988417625427
outside: X 7.5961112976074, Y 1018.5623168945, Z -0.0033771395683289
hogs: X 30.374523162842, Y 1029.8765869141, Z -0.016636416316032
skytower: X -284.2021484375, Y 623.64111328125, Z 110.81700134277
armory: X -325.69067382813, Y 605.55151367188, Z 123.32399749756
topdeck: X -309.84625244141, Y 602.40106201172, Z 130.29885864258
bedroom: X -325.49661254883, Y 602.59429931641, Z 116.00897979736
bomb1: X -325.42202758789, Y 607.08813476563, Z 115.8159942627
base: X -26.524662017822, Y 1026.4808349609, Z -0.016796559095383
waterfall: X -158.248046875, Y 329.36602783203, Z -200.73243713379
cr: X -137.79290771484, Y 460.99951171875, Z -182.85699462891
index: X -187.22271728516, Y 417.66067504883, Z -176.40800476074
medic: X 38.236633300781, Y 1012.2249145508, Z 1.489009976387
bomb2: X 1.0346961021423, Y 953.59106445313, Z -0.00019988417625427
skyship: X -552.51007080078, Y 1196.9235839844, Z 261.51092529297
